beneficiary_id,name,age_group,age_months,gender,region,meals_per_day,food_diversity_score,protein_intake_g,calorie_intake_kcal,attendance_rate,days_since_last_check,risk_score,risk_category,last_updated
BEN00025,Ananya Joshi,6-12 years,122,Female,Madhya Pradesh,2,1,11.9,987.0,0.69,4,94.8,High,2025-12-19 16:06:13
BEN00026,Diya Kumar,3-5 years,40,Female,Andhra Pradesh,4,7,44.4,1938.0,0.88,0,0.0,Low,2025-12-11 16:06:13
BEN00027,Diya Mehta,0-2 years,22,Female,Maharashtra,2,3,26.0,1206.0,0.53,32,92.8,High,2025-12-30 16:06:13
BEN00028,Aadhya Kumar,6-12 years,114,Female,Telangana,3,5,35.5,1566.0,0.92,16,27.7,Low,2025-12-09 16:06:13
BEN00029,Shaurya Singh,3-5 years,42,Male,West Bengal,3,6,56.9,2015.0,0.95,35,25.5,Low,2026-01-01 16:06:13
BEN00030,Prisha Patel,3-5 years,42,Female,Madhya Pradesh,2,3,25.1,862.0,0.66,19,87.2,High,2025-12-19 16:06:13
BEN00031,Pranav Malhotra,3-5 years,47,Male,Gujarat,3,7,58.8,2165.0,0.89,15,4.4,Low,2025-12-10 16:06:13
BEN00032,Diya Mehta,6-12 years,124,Female,Andhra Pradesh,4,5,46.0,2121.0,0.84,17,11.5,Low,2025-12-20 16:06:13
BEN00033,Shaurya Joshi,13-18 years,193,Male,Rajasthan,3,4,55.5,1994.0,0.77,36,38.0,Medium,2025-12-22 16:06:13
BEN00034,Dhruv Desai,13-18 years,180,Male,Kerala,3,6,47.0,1765.0,0.93,9,15.6,Low,2025-12-09 16:06:13
BEN00035,Aditya Verma,0-2 years,19,Male,Karnataka,2,1,23.6,943.0,0.46,24,100.0,High,2025-12-29 16:06:13
BEN00036,Myra Verma,0-2 years,20,Female,Punjab,4,4,41.3,1987.0,0.77,40,26.2,Low,2025-12-18 16:06:13
BEN00037,Aadhya Sharma,13-18 years,212,Female,Odisha,4,7,44.9,1575.0,0.83,27,8.5,Low,2025-12-07 16:06:13
BEN00038,Pari Das,3-5 years,57,Female,Chhattisgarh,2,1,23.7,898.0,0.66,5,100.0,High,2025-12-17 16:06:13
BEN00039,Sai Yadav,13-18 years,165,Male,Haryana,2,7,44.4,2067.0,1.0,10,20.5,Low,2025-12-13 16:06:13
BEN00040,Riya Verma,0-2 years,8,Female,Bihar,1,3,27.3,1288.0,0.7,37,90.0,High,2026-01-01 16:06:13
BEN00041,Pari Reddy,6-12 years,88,Female,Jharkhand,1,1,22.1,937.0,0.57,31,100.0,High,2025-12-13 16:06:13
BEN00042,Avni Joshi,6-12 years,76,Female,Chhattisgarh,1,3,25.7,1184.0,0.62,38,91.6,High,2025-12-29 16:06:13
BEN00043,Saanvi Rao,6-12 years,101,Female,Assam,4,7,48.7,1816.0,0.98,29,11.4,Low,2025-12-30 16:06:13
BEN00044,Angel Desai,3-5 years,55,Female,Madhya Pradesh,3,4,40.2,1906.0,0.84,22,31.5,Medium,2025-12-12 16:06:13
BEN00045,Aditi Mehta,6-12 years,75,Female,Bihar,3,7,39.3,1635.0,0.76,4,17.2,Low,2025-12-13 16:06:13
BEN00046,Aarav Reddy,3-5 years,49,Male,Maharashtra,2,3,10.8,1280.0,0.55,29,77.5,High,2025-12-24 16:06:13
BEN00047,Riya Patel,6-12 years,123,Female,Assam,4,5,50.5,1758.0,0.87,44,22.5,Low,2025-12-12 16:06:13
BEN00048,Muhammad Verma,13-18 years,193,Male,Bihar,2,6,44.4,1514.0,0.83,38,43.9,Medium,2025-12-13 16:06:13
BEN00049,Advaith Desai,3-5 years,60,Male,West Bengal,3,5,37.2,1876.0,0.9,7,39.0,Medium,2025-12-25 16:06:13
BEN00050,Arnav Chopra,6-12 years,130,Male,Kerala,4,4,37.5,1607.0,0.81,3,38.8,Medium,2025-12-05 16:06:13
BEN00051,Ishaan Sharma,3-5 years,43,Male,Madhya Pradesh,2,5,49.4,2142.0,0.75,29,43.9,Medium,2025-12-10 16:06:13
BEN00052,Aditi Iyer,3-5 years,48,Female,Telangana,3,3,14.0,1242.0,0.51,0,58.5,Medium,2025-12-09 16:06:13
BEN00053,Aaradhya Reddy,3-5 years,39,Female,Kerala,2,5,46.4,1884.0,0.89,1,40.3,Medium,2026-01-03 16:06:13
BEN00054,Ishaan Desai,0-2 years,14,Male,Tamil Nadu,3,4,56.3,2022.0,0.85,10,24.3,Low,2025-12-26 16:06:13
BEN00055,Aditya Sharma,13-18 years,177,Male,Karnataka,3,7,39.1,1615.0,0.95,13,19.8,Low,2025-12-22 16:06:13
BEN00056,Avni Iyer,3-5 years,43,Female,Jharkhand,3,4,53.7,1852.0,0.81,32,33.9,Medium,2025-12-20 16:06:13
BEN00057,Reyansh Iyer,0-2 years,6,Male,NCT Delhi,3,6,43.4,1597.0,0.95,28,29.8,Low,2025-12-08 16:06:13
BEN00058,Aaradhya Kumar,6-12 years,98,Female,Uttar Pradesh,2,2,19.9,1253.0,0.34,12,100.0,High,2025-12-20 16:06:13
BEN00059,Zoya Yadav,6-12 years,76,Female,Assam,3,6,51.0,1986.0,0.89,42,30.2,Medium,2025-12-05 16:06:13
BEN00060,Aaradhya Rao,3-5 years,50,Female,Jharkhand,4,7,47.6,1928.0,0.75,42,11.1,Low,2025-12-23 16:06:13
BEN00061,Syed Patel,6-12 years,108,Male,Karnataka,3,6,50.2,1797.0,0.93,39,22.1,Low,2025-12-09 16:06:13
BEN00062,Aadhya Malhotra,6-12 years,92,Female,Assam,2,1,10.1,1000.0,0.46,24,100.0,High,2025-12-09 16:06:13
BEN00063,Saanvi Nair,3-5 years,37,Female,Chhattisgarh,2,6,38.5,1623.0,0.87,5,37.5,Medium,2025-12-09 16:06:13
BEN00064,Aryan Nair,13-18 years,196,Male,Chhattisgarh,4,6,59.9,1852.0,0.9,12,16.9,Low,2025-12-05 16:06:13
BEN00065,Ishita Desai,0-2 years,15,Female,Karnataka,3,6,46.3,1867.0,0.86,29,15.6,Low,2026-01-03 16:06:13
BEN00066,Ayaan Sharma,3-5 years,45,Male,NCT Delhi,3,6,59.5,2088.0,0.97,7,17.6,Low,2026-01-03 16:06:13
BEN00067,Ananya Iyer,0-2 years,14,Female,Madhya Pradesh,2,3,24.4,1283.0,0.7,31,83.1,High,2025-12-31 16:06:13
BEN00068,Kiara Mehta,0-2 years,9,Female,Rajasthan,4,7,39.5,1908.0,0.86,1,11.5,Low,2026-01-03 16:06:13
BEN00069,Zoya Khan,3-5 years,37,Female,Bihar,3,4,43.6,2042.0,0.84,43,32.8,Medium,2025-12-05 16:06:13
BEN00070,Reyansh Desai,3-5 years,52,Male,Jharkhand,3,4,41.4,1598.0,0.96,3,27.0,Low,2025-12-09 16:06:13
BEN00071,Myra Singh,3-5 years,46,Female,Tamil Nadu,2,7,47.5,1547.0,0.85,37,30.9,Medium,2025-12-25 16:06:13
BEN00072,Arnav Iyer,3-5 years,48,Male,Rajasthan,4,4,44.6,1863.0,0.76,42,27.0,Low,2026-01-03 16:06:13
BEN00073,Arjun Malhotra,0-2 years,20,Male,Odisha,2,1,24.4,1166.0,0.68,23,90.6,High,2026-01-03 16:06:13
BEN00074,Muhammad Chopra,0-2 years,19,Male,Odisha,4,6,43.4,2040.0,0.78,8,7.7,Low,2025-12-27 16:06:13
BEN00075,Aditi Iyer,3-5 years,42,Female,Bihar,3,7,59.2,1504.0,0.78,36,11.4,Low,2025-12-05 16:06:13
BEN00076,Ishita Iyer,6-12 years,141,Female,Karnataka,2,3,23.9,831.0,0.57,31,96.9,High,2025-12-25 16:06:13
BEN00077,Riya Nair,0-2 years,20,Female,Rajasthan,3,2,18.4,1277.0,0.6,38,80.2,High,2025-12-28 16:06:13
BEN00078,Aditya Joshi,0-2 years,1,Male,Bihar,3,6,45.1,1901.0,0.95,3,2.1,Low,2025-12-06 16:06:13
BEN00079,Myra Shah,3-5 years,48,Female,Andhra Pradesh,3,6,56.8,1515.0,0.97,12,20.9,Low,2025-12-08 16:06:13
BEN00080,Zoya Desai,3-5 years,56,Female,Telangana,4,6,45.0,1564.0,0.83,19,8.4,Low,2025-12-30 16:06:13
BEN00081,Riya Sharma,3-5 years,59,Female,Haryana,1,1,15.5,1346.0,0.32,14,100.0,High,2025-12-23 16:06:13
BEN00082,Pari Reddy,0-2 years,5,Female,Rajasthan,4,6,57.6,2192.0,0.94,3,0.7,Low,2025-12-08 16:06:13
BEN00083,Kabir Verma,0-2 years,10,Male,Maharashtra,1,2,25.6,1010.0,0.32,22,100.0,High,2025-12-05 16:06:13
BEN00084,Ananya Sharma,0-2 years,23,Female,Assam,3,1,11.8,1326.0,0.41,27,83.1,High,2025-12-06 16:06:13
BEN00085,Saanvi Joshi,0-2 years,14,Female,Karnataka,3,5,45.2,1761.0,0.81,4,21.1,Low,2025-12-30 16:06:13
BEN00086,Pranav Reddy,13-18 years,205,Male,Karnataka,3,6,55.6,1743.0,0.92,26,23.8,Low,2025-12-22 16:06:13
BEN00087,Arnav Malhotra,13-18 years,183,Male,Uttar Pradesh,1,1,26.7,1218.0,0.57,26,100.0,High,2025-12-24 16:06:13
BEN00088,Ishita Gupta,0-2 years,10,Female,Rajasthan,3,2,25.1,955.0,0.38,12,81.4,High,2025-12-21 16:06:13
BEN00089,Ishaan Desai,0-2 years,1,Male,Kerala,2,5,35.5,1803.0,0.96,27,54.0,Medium,2025-12-06 16:06:13
BEN00090,Zoya Patel,0-2 years,16,Female,Telangana,2,1,11.2,845.0,0.64,13,93.5,High,2025-12-20 16:06:13
BEN00091,Diya Sharma,6-12 years,78,Female,Odisha,3,7,54.3,1978.0,0.86,33,11.2,Low,2025-12-12 16:06:13
BEN00092,Aditi Chopra,6-12 years,118,Female,Jharkhand,1,3,29.0,891.0,0.47,20,100.0,High,2025-12-20 16:06:13
BEN00093,Dhruv Rao,6-12 years,140,Male,Bihar,3,5,40.7,1649.0,0.76,24,30.4,Medium,2025-12-23 16:06:13
BEN00094,Krishna Pandey,0-2 years,20,Male,Karnataka,4,7,35.4,2058.0,0.82,23,23.7,Low,2025-12-07 16:06:13
BEN00095,Zoya Pandey,3-5 years,49,Female,Rajasthan,2,1,14.0,1095.0,0.33,1,98.6,High,2025-12-22 16:06:13
BEN00096,Ved Shah,3-5 years,41,Male,Odisha,4,5,57.7,2007.0,0.94,40,23.9,Low,2025-12-18 16:06:13
BEN00097,Reyansh Yadav,3-5 years,57,Male,Jammu and Kashmir,2,2,16.5,1111.0,0.34,12,91.9,High,2025-12-29 16:06:13
BEN00098,Kiara Shah,6-12 years,115,Female,Chhattisgarh,2,6,35.8,2155.0,0.76,31,41.4,Medium,2025-12-26 16:06:13
BEN00099,Sara Iyer,6-12 years,133,Female,Jammu and Kashmir,4,6,51.5,1887.0,0.9,21,20.0,Low,2025-12-26 16:06:13
BEN00100,Reyansh Khan,6-12 years,83,Male,Telangana,3,2,16.6,1082.0,0.6,28,79.7,High,2025-12-12 16:06:13
BEN00101,Kabir Joshi,6-12 years,89,Male,NCT Delhi,3,1,19.9,849.0,0.46,28,95.4,High,2025-12-28 16:06:13
BEN00102,Dhruv Reddy,3-5 years,47,Male,Jammu and Kashmir,3,6,49.5,1807.0,0.93,35,20.9,Low,2026-01-02 16:06:13
BEN00103,Diya Rao,6-12 years,129,Female,Telangana,3,4,53.3,1592.0,0.93,29,32.2,Medium,2025-12-21 16:06:13
BEN00104,Sai Reddy,0-2 years,8,Male,Assam,3,7,49.8,1614.0,0.85,27,12.6,Low,2026-01-02 16:06:13
BEN00105,Pari Kumar,6-12 years,127,Female,West Bengal,3,6,57.1,1809.0,0.83,28,26.2,Low,2026-01-03 16:06:13
BEN00106,Krishna Khan,13-18 years,212,Male,Jammu and Kashmir,3,6,51.6,1832.0,0.96,43,27.1,Low,2025-12-11 16:06:13
BEN00107,Pihu Rao,0-2 years,19,Female,Haryana,2,4,58.4,1528.0,0.78,5,42.1,Medium,2025-12-23 16:06:13
BEN00108,Ved Khan,0-2 years,24,Male,Haryana,3,7,47.9,1842.0,0.92,19,9.7,Low,2025-12-12 16:06:13
BEN00109,Pranav Chopra,6-12 years,79,Male,Haryana,2,1,18.9,1321.0,0.37,33,100.0,High,2025-12-17 16:06:13
BEN00110,Sara Yadav,6-12 years,143,Female,Jharkhand,3,6,51.5,1776.0,0.91,25,20.8,Low,2025-12-05 16:06:13
BEN00111,Avni Rao,3-5 years,36,Female,Gujarat,3,4,49.2,2017.0,0.97,37,39.2,Medium,2025-12-29 16:06:13
BEN00112,Myra Das,3-5 years,48,Female,Odisha,3,6,35.1,1727.0,0.84,6,20.2,Low,2025-12-20 16:06:13
BEN00113,Aadhya Desai,3-5 years,38,Female,Telangana,2,2,22.9,1256.0,0.5,20,87.8,High,2025-12-29 16:06:13
BEN00114,Siya Reddy,3-5 years,40,Female,Assam,3,7,48.7,2023.0,0.93,42,25.0,Low,2025-12-22 16:06:13
BEN00115,Aditi Mehta,6-12 years,86,Female,West Bengal,2,4,47.0,1636.0,0.79,3,39.0,Medium,2025-12-08 16:06:13
BEN00116,Ananya Iyer,3-5 years,39,Female,Haryana,4,5,38.0,1627.0,0.92,9,17.1,Low,2025-12-28 16:06:13
BEN00117,Anika Desai,6-12 years,113,Female,West Bengal,2,5,48.8,1530.0,0.91,12,48.2,Medium,2025-12-13 16:06:13
BEN00118,Navya Yadav,6-12 years,113,Female,Karnataka,3,6,54.5,1692.0,0.96,38,27.2,Low,2025-12-25 16:06:13
BEN00119,Ishita Patel,0-2 years,22,Female,Haryana,1,2,19.5,1121.0,0.37,36,100.0,High,2025-12-24 16:06:13
BEN00120,Reyansh Verma,6-12 years,96,Male,Maharashtra,3,5,45.1,1800.0,0.93,10,30.3,Medium,2025-12-28 16:06:13
BEN00121,Reyansh Malhotra,6-12 years,113,Male,Rajasthan,3,4,57.4,1634.0,0.83,5,25.9,Low,2025-12-18 16:06:13
BEN00122,Pari Joshi,0-2 years,20,Female,Karnataka,3,5,40.8,1820.0,0.8,1,19.2,Low,2025-12-12 16:06:13
BEN00123,Arnav Desai,13-18 years,178,Male,Jammu and Kashmir,2,1,13.5,1214.0,0.38,15,100.0,High,2025-12-12 16:06:13
BEN00124,Riya Mehta,6-12 years,74,Female,Punjab,2,6,38.8,2195.0,0.98,43,40.4,Medium,2026-01-03 16:06:13
BEN00125,Zoya Rao,3-5 years,43,Female,Rajasthan,3,7,54.6,1996.0,0.76,32,13.7,Low,2025-12-26 16:06:13
BEN00126,Ishaan Kumar,3-5 years,55,Male,West Bengal,2,5,47.4,2195.0,0.96,41,38.2,Medium,2025-12-23 16:06:13
BEN00127,Angel Rao,6-12 years,106,Female,Andhra Pradesh,4,7,40.3,2073.0,0.83,34,10.2,Low,2025-12-17 16:06:13
BEN00128,Avni Gupta,6-12 years,96,Female,Uttar Pradesh,3,5,57.5,2081.0,0.83,34,23.1,Low,2025-12-26 16:06:13
BEN00129,Myra Singh,0-2 years,1,Female,West Bengal,3,1,28.7,1326.0,0.41,5,72.8,High,2025-12-16 16:06:13
BEN00130,Saanvi Gupta,0-2 years,10,Female,Haryana,2,1,18.6,902.0,0.33,27,100.0,High,2025-12-05 16:06:13
BEN00131,Ayaan Mehta,6-12 years,75,Male,West Bengal,4,6,40.5,1622.0,0.91,37,11.0,Low,2025-12-15 16:06:13
BEN00132,Aditya Nair,3-5 years,57,Male,Jharkhand,2,1,10.2,1050.0,0.49,37,100.0,High,2025-12-20 16:06:13
BEN00133,Anika Reddy,0-2 years,20,Female,Haryana,2,4,59.0,1841.0,0.78,10,48.2,Medium,2025-12-12 16:06:13
BEN00134,Arjun Singh,3-5 years,53,Male,Karnataka,3,4,46.5,2050.0,0.97,40,33.1,Medium,2025-12-18 16:06:13
BEN00135,Navya Kumar,6-12 years,119,Female,Uttar Pradesh,2,7,54.5,2078.0,0.87,7,27.9,Low,2025-12-20 16:06:13
BEN00136,Myra Malhotra,0-2 years,11,Female,Uttar Pradesh,2,7,37.1,2001.0,0.77,23,44.1,Medium,2026-01-01 16:06:13
BEN00137,Sai Chopra,6-12 years,129,Male,Jharkhand,4,6,51.5,1630.0,0.79,4,15.0,Low,2025-12-27 16:06:13
BEN00138,Arnav Yadav,0-2 years,16,Male,Karnataka,3,5,51.7,1507.0,0.81,3,21.6,Low,2025-12-21 16:06:13
BEN00139,Ved Gupta,6-12 years,83,Male,Karnataka,2,3,20.4,1170.0,0.36,9,100.0,High,2025-12-12 16:06:13
BEN00140,Krishna Pandey,3-5 years,60,Male,Haryana,3,4,51.9,1847.0,0.75,20,28.4,Low,2026-01-01 16:06:13
BEN00141,Anika Desai,3-5 years,50,Female,Haryana,3,5,56.0,2010.0,0.94,43,28.8,Low,2025-12-13 16:06:13
BEN00142,Myra Shah,0-2 years,20,Female,Assam,3,3,20.1,1304.0,0.59,42,67.5,High,2025-12-30 16:06:13
BEN00143,Ananya Malhotra,0-2 years,6,Female,Telangana,3,6,39.0,1891.0,0.95,43,33.5,Medium,2025-12-25 16:06:13
BEN00144,Angel Pandey,6-12 years,98,Female,Maharashtra,3,7,48.1,2094.0,0.96,11,8.2,Low,2025-12-18 16:06:13
BEN00145,Vivaan Chopra,3-5 years,54,Male,Tamil Nadu,4,7,44.6,1950.0,0.95,34,9.5,Low,2025-12-13 16:06:13
BEN00146,Angel Rao,0-2 years,24,Female,Kerala,2,1,22.8,839.0,0.53,3,86.1,High,2025-12-11 16:06:13
BEN00147,Saanvi Shah,6-12 years,131,Female,NCT Delhi,2,5,52.4,2022.0,1.0,30,42.1,Medium,2025-12-22 16:06:13
BEN00148,Aryan Kumar,0-2 years,19,Male,Chhattisgarh,3,6,53.3,1710.0,0.79,5,22.6,Low,2025-12-31 16:06:13
BEN00149,Muhammad Yadav,3-5 years,49,Male,Odisha,4,4,39.6,1754.0,0.83,12,31.3,Medium,2025-12-13 16:06:13
BEN00150,Aryan Verma,6-12 years,90,Male,Andhra Pradesh,3,4,56.0,1630.0,0.95,9,38.2,Medium,2025-12-30 16:06:13
BEN00151,Diya Nair,13-18 years,190,Female,Uttar Pradesh,2,4,39.0,1927.0,0.78,30,60.1,High,2025-12-14 16:06:13
BEN00152,Advaith Gupta,3-5 years,42,Male,Bihar,2,2,15.4,1256.0,0.48,12,99.8,High,2025-12-29 16:06:13
BEN00153,Pranav Patel,0-2 years,19,Male,Haryana,2,7,42.9,2040.0,0.77,14,28.4,Low,2025-12-28 16:06:13
BEN00154,Advaith Pandey,6-12 years,129,Male,Haryana,2,1,21.3,1078.0,0.69,11,100.0,High,2025-12-10 16:06:13
BEN00155,Aarav Shah,6-12 years,142,Male,Uttar Pradesh,2,5,45.1,1880.0,0.95,16,31.9,Medium,2026-01-02 16:06:13
BEN00156,Sai Singh,6-12 years,128,Male,Maharashtra,3,3,23.0,1127.0,0.32,39,92.6,High,2025-12-29 16:06:13
BEN00157,Angel Sharma,0-2 years,16,Female,Rajasthan,3,7,53.9,1864.0,0.8,20,9.6,Low,2025-12-21 16:06:13
BEN00158,Ishaan Iyer,13-18 years,181,Male,Chhattisgarh,1,2,16.9,969.0,0.46,34,100.0,High,2025-12-29 16:06:13
BEN00159,Ved Khan,6-12 years,122,Male,Odisha,2,1,21.6,1181.0,0.62,14,98.8,High,2025-12-25 16:06:13
BEN00160,Arnav Joshi,0-2 years,15,Male,Bihar,3,3,29.7,884.0,0.38,7,79.3,High,2025-12-30 16:06:13
BEN00161,Prisha Khan,3-5 years,41,Female,Jharkhand,3,3,20.1,1380.0,0.47,20,70.3,High,2025-12-07 16:06:13
BEN00162,Pari Sharma,3-5 years,60,Female,Jammu and Kashmir,2,4,59.3,1736.0,0.82,37,54.1,Medium,2025-12-17 16:06:13
BEN00163,Advaith Khan,13-18 years,199,Male,Telangana,3,5,55.7,1735.0,0.79,20,27.8,Low,2026-01-02 16:06:13
BEN00164,Muhammad Shah,6-12 years,128,Male,Punjab,3,7,46.8,2185.0,0.91,19,22.4,Low,2025-12-06 16:06:13
BEN00165,Saanvi Sharma,6-12 years,99,Female,Assam,3,1,26.7,968.0,0.56,3,82.9,High,2025-12-20 16:06:13
BEN00166,Aditya Pandey,6-12 years,88,Male,Rajasthan,2,6,41.5,2135.0,0.92,22,37.1,Medium,2025-12-08 16:06:13
BEN00167,Reyansh Rao,0-2 years,20,Male,Karnataka,2,3,12.2,1054.0,0.32,23,92.1,High,2025-12-21 16:06:13
BEN00168,Angel Malhotra,6-12 years,116,Female,Rajasthan,3,7,55.7,1697.0,0.97,13,11.1,Low,2025-12-11 16:06:13
BEN00169,Diya Iyer,3-5 years,44,Female,Uttar Pradesh,3,6,36.9,1658.0,0.93,40,36.0,Medium,2025-12-21 16:06:13
BEN00170,Syed Desai,3-5 years,47,Male,Bihar,2,1,20.4,838.0,0.63,2,100.0,High,2025-12-23 16:06:13
BEN00171,Ishaan Das,6-12 years,136,Male,Karnataka,3,7,57.8,1825.0,0.78,18,13.3,Low,2025-12-27 16:06:13
BEN00172,Aaradhya Chopra,6-12 years,122,Female,West Bengal,2,7,44.6,1841.0,0.91,1,30.0,Low,2025-12-11 16:06:13
BEN00173,Navya Kumar,3-5 years,41,Female,Tamil Nadu,2,4,46.8,1532.0,0.79,41,42.1,Medium,2026-01-01 16:06:13
BEN00174,Dhruv Desai,3-5 years,41,Male,Chhattisgarh,1,3,26.9,971.0,0.49,41,100.0,High,2025-12-24 16:06:13
BEN00175,Ishaan Das,6-12 years,120,Male,Gujarat,3,6,47.7,2112.0,0.87,10,16.9,Low,2025-12-21 16:06:13
BEN00176,Krishna Joshi,6-12 years,143,Male,Karnataka,3,4,42.7,2077.0,0.99,4,22.9,Low,2025-12-27 16:06:13
BEN00177,Kiara Verma,6-12 years,120,Female,Assam,3,7,44.6,1819.0,0.84,18,19.7,Low,2025-12-18 16:06:13
BEN00178,Kabir Yadav,6-12 years,73,Male,Gujarat,4,4,35.3,1945.0,0.98,38,44.4,Medium,2025-12-07 16:06:13
BEN00179,Arnav Singh,3-5 years,38,Male,Punjab,4,4,45.6,1707.0,0.87,44,28.8,Low,2025-12-05 16:06:13
BEN00180,Aaradhya Khan,3-5 years,38,Female,Kerala,2,2,21.8,936.0,0.45,2,99.4,High,2025-12-07 16:06:13
BEN00181,Navya Iyer,13-18 years,187,Female,West Bengal,3,5,39.2,1801.0,0.79,0,30.6,Medium,2025-12-06 16:06:13
BEN00182,Ved Sharma,3-5 years,46,Male,Chhattisgarh,3,2,26.8,1148.0,0.52,30,74.9,High,2025-12-31 16:06:13
BEN00183,Ved Reddy,0-2 years,23,Male,Bihar,3,6,40.2,2148.0,0.85,5,14.8,Low,2025-12-05 16:06:13
BEN00184,Sai Gupta,3-5 years,38,Male,Tamil Nadu,4,4,37.2,1925.0,0.79,16,36.5,Medium,2025-12-22 16:06:13
BEN00185,Diya Reddy,0-2 years,16,Female,Kerala,3,6,56.0,1749.0,0.96,44,18.5,Low,2025-12-23 16:06:13
BEN00186,Diya Malhotra,0-2 years,23,Female,Bihar,3,3,25.6,1241.0,0.42,21,70.3,High,2025-12-10 16:06:13
BEN00187,Ishita Reddy,6-12 years,79,Female,Madhya Pradesh,3,6,38.3,1915.0,0.9,44,32.1,Medium,2025-12-13 16:06:13
BEN00188,Pari Desai,6-12 years,112,Female,Jharkhand,3,3,19.3,1389.0,0.49,31,83.5,High,2025-12-29 16:06:13
BEN00189,Diya Rao,3-5 years,59,Female,Assam,4,6,49.4,2106.0,1.0,17,19.3,Low,2025-12-20 16:06:13
BEN00190,Myra Sharma,0-2 years,8,Female,Karnataka,3,4,42.5,1668.0,0.83,2,19.6,Low,2025-12-08 16:06:13
BEN00191,Muhammad Pandey,0-2 years,22,Male,Punjab,4,5,53.1,1985.0,0.78,20,20.2,Low,2025-12-11 16:06:13
BEN00192,Pihu Sharma,13-18 years,163,Female,Chhattisgarh,1,3,24.8,1300.0,0.6,36,92.6,High,2025-12-22 16:06:13
BEN00193,Pari Das,6-12 years,107,Female,Bihar,2,4,53.1,1696.0,0.92,30,47.4,Medium,2026-01-01 16:06:13
BEN00194,Myra Verma,6-12 years,116,Female,NCT Delhi,3,7,37.8,2089.0,0.81,37,25.5,Low,2025-12-07 16:06:13
